customer_id,name,age,gender,city,income,signup_date,last_purchase_date
C029,Customer_029,53,Male,Mumbai,87946,2025-05-04,2025-08-10
C030,Customer_030,59,Female,Mumbai,94939,2024-06-05,2025-09-11
C031,Customer_031,45,Male,Bengaluru,18850,2025-07-06,2025-10-12
C032,Customer_032,34,Male,Mumbai,96235,2024-08-07,2025-11-13
C033,Customer_033,58,Male,Delhi,116019,2025-09-08,2025-12-14
C034,Customer_034,28,Male,Vadodara,146085,2024-10-09,2025-01-15
C035,Customer_035,19,Male,Vadodara,98612,2025-11-10,2025-02-16
C036,Customer_036,33,Male,Pune,38645,2024-12-11,2025-03-17
C037,Customer_037,23,Female,Mumbai,50967,2025-01-12,2025-04-18
C038,Customer_038,26,Female,Delhi,87483,2024-02-13,2025-05-19
C039,Customer_039,51,Female,Pune,70730,2025-03-14,2025-06-20
C040,Customer_040,37,Female,Vadodara,132845,2024-04-15,2025-07-21
C041,Customer_041,51,Female,Mumbai,82986,2025-05-16,2025-08-22
C042,Customer_042,32,Male,Vadodara,23514,2024-06-17,2025-09-23
C043,Customer_043,55,Male,Pune,19885,2025-07-18,2025-10-24
C044,Customer_044,22,Male,Pune,35668,2024-08-19,2025-11-25
C045,Customer_045,20,Female,Mumbai,80391,2025-09-20,2025-12-01
C046,Customer_046,35,Female,Pune,52684,2024-10-21,2025-01-02
C047,Customer_047,54,Female,Pune,141987,2025-11-22,2025-02-03
C048,Customer_048,44,Male,Mumbai,43409,2024-12-23,2025-03-04
C049,Customer_049,60,Female,Vadodara,129038,2025-01-24,2025-04-05
C050,Customer_050,44,Female,Ahmedabad,43799,2024-02-25,2025-05-06
C051,Customer_051,21,Female,Vadodara,46644,2025-03-01,2025-06-07
C052,Customer_052,33,Male,Pune,135601,2024-04-02,2025-07-08
C053,Customer_053,26,Female,Delhi,91018,2025-05-03,2025-08-09
C054,Customer_054,47,Male,Mumbai,134164,2024-06-04,2025-09-10
C055,Customer_055,53,Male,Ahmedabad,21868,2025-07-05,2025-10-11
C056,Customer_056,23,Male,Delhi,124539,2024-08-06,2025-11-12
C057,Customer_057,49,Female,Pune,123130,2025-09-07,2025-12-13
C058,Customer_058,21,Male,Jaipur,18565,2024-10-08,2025-01-14
C059,Customer_059,42,Female,Bengaluru,92776,2025-11-09,2025-02-15
C060,Customer_060,45,Female,Delhi,67780,2024-12-10,2025-03-16
C061,Customer_061,36,Male,Ahmedabad,33979,2025-01-11,2025-04-17
C062,Customer_062,38,Male,Ahmedabad,142987,2024-02-12,2025-05-18
C063,Customer_063,50,Male,Ahmedabad,39000,2025-03-13,2025-06-19
C064,Customer_064,29,Male,Mumbai,79657,2024-04-14,2025-07-20
C065,Customer_065,43,Male,Pune,28418,2025-05-15,2025-08-21
C066,Customer_066,57,Male,Jaipur,100934,2024-06-16,2025-09-22
C067,Customer_067,34,Male,Vadodara,80570,2025-07-17,2025-10-23
C068,Customer_068,34,Female,Delhi,96642,2024-08-18,2025-11-24
C069,Customer_069,47,Female,Mumbai,20441,2025-09-19,2025-12-25
C070,Customer_070,47,Male,Mumbai,73877,2024-10-20,2025-01-01
C071,Customer_071,50,Female,Delhi,109490,2025-11-21,2025-02-02
C072,Customer_072,22,Male,Vadodara,92707,2024-12-22,2025-03-03
C073,Customer_073,28,Female,Surat,20050,2025-01-23,2025-04-04
C074,Customer_074,60,Female,Mumbai,53203,2024-02-24,2025-05-05
C075,Customer_075,34,Male,Mumbai,58749,2025-03-25,2025-06-06
C076,Customer_076,35,Female,Pune,107884,2024-04-01,2025-07-07
C077,Customer_077,31,Female,Bengaluru,83829,2025-05-02,2025-08-08
C078,Customer_078,21,Male,Jaipur,90530,2024-06-03,2025-09-09
C079,Customer_079,20,Male,Vadodara,52293,2025-07-04,2025-10-10
C080,Customer_080,58,Female,Delhi,133824,2024-08-05,2025-11-11
C081,Customer_081,53,Female,Ahmedabad,47327,2025-09-06,2025-12-12
C082,Customer_082,22,Male,Ahmedabad,114787,2024-10-07,2025-01-13
C083,Customer_083,55,Male,Jaipur,51409,2025-11-08,2025-02-14
C084,Customer_084,20,Female,Vadodara,28458,2024-12-09,2025-03-15
C085,Customer_085,40,Male,Pune,44946,2025-01-10,2025-04-16
C086,Customer_086,40,Female,Delhi,80059,2024-02-11,2025-05-17
C087,Customer_087,28,Male,Jaipur,24497,2025-03-12,2025-06-18
C088,Customer_088,29,Female,Jaipur,83055,2024-04-13,2025-07-19
C089,Customer_089,35,Male,Mumbai,118281,2025-05-14,2025-08-20
C090,Customer_090,20,Female,Pune,70316,2024-06-15,2025-09-21
C091,Customer_091,47,Female,Surat,77662,2025-07-16,2025-10-22
C092,Customer_092,32,Male,Pune,122455,2024-08-17,2025-11-23
C093,Customer_093,39,Female,Mumbai,91170,2025-09-18,2025-12-24
C094,Customer_094,40,Female,Vadodara,25235,2024-10-19,2025-01-25
C095,Customer_095,25,Female,Delhi,87590,2025-11-20,2025-02-01
C096,Customer_096,20,Male,Jaipur,108619,2024-12-21,2025-03-02
C097,Customer_097,38,Female,Mumbai,118976,2025-01-22,2025-04-03
C098,Customer_098,54,Male,Surat,29635,2024-02-23,2025-05-04
C099,Customer_099,45,Male,Pune,113478,2025-03-24,2025-06-05
C100,Customer_100,45,Male,Vadodara,100291,2024-04-25,2025-07-06
